Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
29,Female,Master Degree,Data Scientist,6,150000,UK,Welsh
32,Male,Bachelor Degree,Software Engineer,8,180000,UK,Asian
33,Female,Master Degree,Product Manager,11,195000,Australia,Australian
24,Male,Bachelor Degree,Data Analyst,2,95000,Canada,White
27,Male,Bachelor Degree,Software Engineer,4,160000,Canada,Asian
25,Female,Bachelor Degree,Data Analyst,2,100000,Canada,Asian
30,Female,Phd,Data Scientist,7,170000,Australia,Asian
31,Male,Bachelor Degree,Data Analyst,9,190000,USA,Asian
28,Female,Bachelor Degree,Software Engineer,5,150000,USA,Hispanic
26,Male,Bachelor Degree,Data Analyst,3,120000,UK,Welsh
29,Female,Master Degree,Data Scientist,6,150000,Australia,Asian
32,Male,Bachelor Degree,Software Engineer,8,180000,USA,Asian
33,Female,Master Degree,Product Manager,11,195000,China,White
24,Male,Bachelor Degree,Data Analyst,2,95000,USA,White
27,Male,Bachelor Degree,Software Engineer,4,160000,Australia,Asian
25,Female,Bachelor Degree,Data Analyst,2,100000,Australia,Asian
30,Female,Phd,Data Scientist,7,170000,China,Chinese
31,Male,Bachelor Degree,Data Analyst,9,190000,Canada,White
28,Female,Bachelor Degree,Software Engineer,5,150000,Canada,White
26,Male,Bachelor Degree,Data Analyst,3,120000,UK,White
29,Female,Master Degree,Data Scientist,6,150000,Canada,Black
32,Male,Bachelor Degree,Software Engineer,8,180000,USA,Hispanic
33,Female,Master Degree,Product Manager,11,195000,USA,African American
24,Male,Bachelor Degree,Data Analyst,2,95000,China,White
27,Male,Bachelor Degree,Software Engineer,4,160000,Canada,Black
25,Female,Bachelor Degree,Data Analyst,2,100000,Canada,Asian
30,Female,Phd,Data Scientist,7,170000,USA,African American
31,Male,Bachelor Degree,Data Analyst,9,190000,UK,White
28,Female,Bachelor Degree,Software Engineer,5,150000,Canada,Black
26,Male,Bachelor Degree,Data Analyst,3,120000,UK,Welsh
29,Female,Master Degree,Data Scientist,6,150000,Australia,Australian
32,Male,Bachelor Degree,Software Engineer,8,180000,Australia,Australian
33,Female,Master Degree,Product Manager,11,195000,China,White
24,Male,Bachelor Degree,Data Analyst,2,95000,Canada,Asian
27,Male,Bachelor Degree,Software Engineer,4,160000,USA,Asian
25,Female,Bachelor Degree,Data Analyst,2,100000,China,White
30,Female,Phd,Data Scientist,7,170000,Australia,Australian
29,Male,Bachelor Degree,Software Engineer,7,180000,Canada,Black
27,Female,Bachelor Degree,Data Analyst,5,120000,Canada,White
33,Male,Master Degree,Data Scientist,10,195000,Canada,White
28,Male,Bachelor Degree,Software Engineer,4,160000,Canada,White
26,Female,Bachelor Degree,Data Analyst,3,100000,USA,Asian
31,Male,Bachelor Degree,Product Manager,8,190000,China,Korean
30,Male,Master Degree,Software Engineer,6,170000,Canada,Black
32,Female,Bachelor Degree,Data Scientist,9,185000,China,Korean
29,Male,Bachelor Degree,Data Analyst,7,130000,Australia,Australian
35,Female,Bachelor Degree,Product Manager,12,190000,UK,Welsh
27,Male,Bachelor Degree,Software Engineer,5,150000,China,Chinese
28,Female,Master Degree,Data Scientist,6,150000,USA,Asian
37,Male,Phd,Product Manager,14,195000,USA,Hispanic
26,Male,Bachelor Degree,Data Analyst,3,110000,UK,Asian
30,Female,Bachelor Degree,Software Engineer,8,180000,China,Korean
31,Male,Master Degree,Data Scientist,9,185000,Australia,White
29,Female,Bachelor Degree,Data Analyst,7,130000,China,Chinese
32,Male,Bachelor Degree,Software Engineer,10,190000,USA,Hispanic
28,Female,Master Degree,Data Scientist,6,155000,Australia,Australian
34,Male,Bachelor Degree,Software Engineer,12,195000,UK,White
25,Female,Bachelor Degree,Data Analyst,2,90000,UK,Asian
30,Male,Bachelor Degree,Product Manager,8,185000,USA,Hispanic
29,Female,Bachelor Degree,Data Analyst,6,120000,UK,White
31,Male,Bachelor Degree,Software Engineer,9,180000,Australia,Asian
26,Female,Bachelor Degree,Data Analyst,3,100000,Canada,Black
33,Male,Master Degree,Data Scientist,10,195000,Australia,Australian
28,Male,Bachelor Degree,Software Engineer,4,160000,Canada,White
27,Female,Bachelor Degree,Data Analyst,5,125000,USA,Asian
30,Male,Master Degree,Software Engineer,6,170000,UK,Asian
32,Female,Bachelor Degree,Data Scientist,9,185000,China,Chinese
29,Male,Bachelor Degree,Data Analyst,7,130000,Canada,White
35,Female,Bachelor Degree,Product Manager,12,190000,China,White
27,Male,Bachelor Degree,Software Engineer,5,150000,UK,Asian
28,Female,Master Degree,Data Scientist,6,150000,UK,Asian
37,Male,Phd,Product Manager,14,195000,China,Chinese
26,Male,Bachelor Degree,Data Analyst,3,110000,Australia,Australian
30,Female,Bachelor Degree,Software Engineer,8,180000,USA,Hispanic
31,Male,Master Degree,Data Scientist,9,185000,China,White
29,Female,Bachelor Degree,Data Analyst,7,130000,USA,Asian
32,Male,Bachelor Degree,Software Engineer,10,190000,China,Korean
28,Female,Master Degree,Data Scientist,6,155000,China,Korean
34,Male,Bachelor Degree,Software Engineer,12,195000,UK,White
25,Female,Bachelor Degree,Data Analyst,2,90000,USA,Asian
30,Male,Bachelor Degree,Product Manager,8,185000,Australia,Australian
29,Female,Bachelor Degree,Data Analyst,6,120000,Australia,White
31,Male,Bachelor Degree,Software Engineer,9,180000,China,Korean
26,Female,Bachelor Degree,Data Analyst,3,100000,USA,White
33,Male,Master Degree,Data Scientist,10,195000,Australia,Asian
28,Male,Bachelor Degree,Software Engineer,4,160000,Australia,White
27,Female,Bachelor Degree,Data Analyst,5,125000,Australia,White
30,Male,Master Degree,Software Engineer,6,170000,Australia,White
32,Female,Bachelor Degree,Data Scientist,9,185000,Australia,Australian
29,Male,Bachelor Degree,Data Analyst,7,130000,Australia,Asian
35,Female,Bachelor Degree,Product Manager,12,190000,UK,Mixed
27,Male,Bachelor Degree,Software Engineer,5,150000,Canada,White
28,Female,Master Degree,Data Scientist,6,150000,China,Korean
37,Male,Phd,Product Manager,14,195000,Australia,White
26,Male,Bachelor Degree,Data Analyst,3,110000,Australia,White
30,Female,Bachelor Degree,Software Engineer,8,180000,China,Chinese
31,Male,Master Degree,Data Scientist,9,185000,UK,White
29,Female,Bachelor Degree,Data Analyst,7,130000,China,Korean
32,Male,Bachelor Degree,Software Engineer,10,190000,China,Korean
28,Female,Master Degree,Data Scientist,6,155000,China,Korean
34,Male,Bachelor Degree,Software Engineer,12,195000,Canada,Asian
25,Female,Bachelor Degree,Data Analyst,2,90000,Australia,White
30,Male,Bachelor Degree,Product Manager,8,185000,Canada,Asian
29,Female,Bachelor Degree,Data Analyst,6,120000,Canada,Black
31,Male,Bachelor Degree,Software Engineer,9,180000,UK,Asian
26,Female,Bachelor Degree,Data Analyst,3,100000,UK,Asian
33,Male,Master Degree,Data Scientist,10,195000,Australia,White
28,Male,Bachelor Degree,Software Engineer,4,160000,Canada,White
27,Female,Bachelor Degree,Data Analyst,5,125000,China,Korean
30,Male,Master Degree,Software Engineer,6,170000,Canada,White
32,Female,Bachelor Degree,Data Scientist,9,185000,USA,Hispanic
29,Male,Bachelor Degree,Data Analyst,7,130000,Australia,Asian
35,Female,Bachelor Degree,Product Manager,12,190000,China,White
27,Male,Bachelor Degree,Software Engineer,5,150000,USA,Asian
28,Female,Master Degree,Data Scientist,6,150000,Canada,White
37,Male,Phd,Product Manager,14,195000,Australia,Asian
26,Male,Bachelor Degree,Data Analyst,3,110000,Australia,White
30,Female,Bachelor Degree,Software Engineer,8,180000,UK,Asian
31,Male,Master Degree,Data Scientist,9,185000,China,White
29,Female,Bachelor Degree,Data Analyst,7,130000,Canada,Black
32,Male,Bachelor Degree,Software Engineer,10,190000,Canada,Black
28,Female,Master Degree,Data Scientist,6,155000,UK,White
34,Male,Bachelor Degree,Software Engineer,12,195000,USA,African American
25,Female,Bachelor Degree,Data Analyst,2,90000,Canada,Black
30,Male,Bachelor Degree,Product Manager,8,185000,Australia,Asian
29,Female,Bachelor Degree,Data Analyst,6,120000,UK,Asian
31,Male,Bachelor Degree,Software Engineer,9,180000,USA,Asian
26,Female,Bachelor Degree,Data Analyst,3,100000,UK,White
33,Male,Master Degree,Data Scientist,10,195000,USA,Asian
28,Male,Bachelor Degree,Software Engineer,4,160000,USA,Hispanic
27,Female,Bachelor Degree,Data Analyst,5,125000,USA,Hispanic
30,Male,Master Degree,Software Engineer,6,170000,Canada,White
32,Female,Bachelor Degree,Data Scientist,9,185000,Canada,White
29,Male,Bachelor Degree,Data Analyst,7,130000,Canada,White
35,Female,Bachelor Degree,Product Manager,12,190000,USA,Asian
27,Male,Bachelor Degree,Software Engineer,5,150000,Australia,Asian
28,Female,Master Degree,Data Scientist,6,150000,Canada,Asian
37,Male,Phd,Product Manager,14,195000,USA,African American
26,Male,Bachelor Degree,Data Analyst,3,110000,UK,Mixed
30,Female,Bachelor Degree,Software Engineer,8,180000,China,Korean
31,Male,Master Degree,Data Scientist,9,185000,Australia,Asian
29,Female,Bachelor Degree,Data Analyst,7,130000,Australia,Australian
32,Male,Bachelor Degree,Software Engineer,10,190000,UK,Mixed
28,Female,Master Degree,Data Scientist,6,155000,Australia,White
34,Male,Bachelor Degree,Software Engineer,12,195000,Australia,White
25,Female,Bachelor Degree,Data Analyst,2,90000,UK,White
30,Male,Bachelor Degree,Product Manager,8,185000,Canada,Black
28,Male,Bachelor Degree,Senior Software Engineer,7,175000,USA,Asian
44,Male,Phd,Software Engineer Manager,18,190000,Australia,White
33,Female,Master Degree,Back end Developer,5,110000,China,White
50,Male,Phd,Senior Project Engineer,16,195000,Canada,Asian
27,Female,Master Degree,Full Stack Engineer,3,100000,UK,Mixed
25,Male,Bachelor Degree,Front end Developer,1,60000,China,Korean
35,Male,Master Degree,Senior Software Engineer,8,155000,Australia,White
47,Female,Phd,Full Stack Engineer,12,175000,UK,Mixed
46,Female,Master Degree,Senior Project Engineer,13,180000,UK,Welsh
32,Male,Bachelor Degree,Back end Developer,4,95000,UK,White
61,Male,Phd,Software Engineer Manager,20,200000,UK,Welsh
41,Male,Master Degree,Senior Software Engineer,11,165000,Australia,Australian
37,Male,Master Degree,Senior Project Engineer,9,145000,UK,White
53,Male,Phd,Software Engineer Manager,19,195000,Australia,Australian
30,Female,Bachelor Degree,Front end Developer,2,75000,USA,Asian
26,Female,Master Degree,Back end Developer,3,90000,Canada,Black
37,Female,Master Degree,Senior Software Engineer,9,155000,UK,Asian
32,Male,Bachelor Degree,Full Stack Engineer,5,115000,Australia,White
44,Female,Master Degree,Senior Software Engineer,12,170000,Canada,Black
50,Female,Phd,Software Engineer Manager,16,190000,UK,Welsh
27,Male,Bachelor Degree,Senior Project Engineer,4,115000,USA,White
42,Male,Phd,Full Stack Engineer,14,180000,China,White
57,Male,Phd,Software Engineer Manager,18,195000,China,White
35,Male,Master Degree,Senior Software Engineer,7,140000,China,White
62,Male,Phd,Software Engineer Manager,19,200000,UK,White
26,Female,Master Degree,Back end Developer,2,70000,Canada,White
42,Female,Master Degree,Senior Project Engineer,11,170000,Canada,Asian
41,Female,Phd,Software Engineer Manager,14,185000,Canada,Asian
36,Female,Master Degree,Full Stack Engineer,8,140000,China,Korean
49,Male,Phd,Software Engineer Manager,15,185000,Canada,Black
49,Male,Phd,Senior Project Engineer,15,185000,Australia,Australian
47,Male,Phd,Software Engineer Manager,15,180000,USA,Asian
47,Male,Phd,Senior Software Engineer,14,175000,China,Korean
26,Male,Bachelor Degree,Front end Developer,2,70000,Canada,White
24,Female,Bachelor Degree,Back end Developer,1,60000,Canada,White
62,Male,Phd,Software Engineer Manager,20,200000,China,Korean
42,Male,Phd,Senior Software Engineer,14,170000,Australia,White
41,Female,Master Degree,Senior Project Engineer,11,165000,Canada,Black
23,Male,Bachelor Degree,Full Stack Engineer,1,55000,Australia,Asian
55,Male,Phd,Software Engineer Manager,17,190000,USA,African American
26,Female,Master Degree,Back end Developer,3,90000,China,Korean
33,Female,Bachelor Degree,Front end Developer,5,105000,UK,Welsh
31,Male,Master Degree,Full Stack Engineer,6,130000,China,Chinese
50,Female,Phd,Software Engineer Manager,16,185000,Australia,Asian
24,Female,Master Degree,Back end Developer,1,60000,Canada,Asian
56,Male,Phd,Software Engineer Manager,17,195000,China,White
24,Male,Bachelor Degree,Front end Developer,1,60000,USA,Asian
37,Male,Master Degree,Senior Software Engineer,8,150000,UK,Mixed
43,Female,Phd,Senior Project Engineer,13,180000,USA,African American
44,Female,Master Degree,Senior Software Engineer,12,170000,Canada,Black
34,Male,Master Degree,Back end Developer,6,125000,Canada,White
45,Male,Phd,Software Engineer Manager,15,185000,China,White
29,Male,Bachelor Degree,Full Stack Engineer,3,90000,UK,White
29,Male,Bachelor Degree,Front end Developer,3,80000,UK,Mixed
29,Female,Bachelor Degree,Back end Developer,3,85000,Australia,Australian
48,Male,Phd,Senior Project Engineer,16,190000,UK,White
43,Female,Master Degree,Software Engineer Manager,11,160000,Canada,White
62,Male,Phd,Software Engineer Manager,19,200000,UK,Mixed
54,Male,Phd,Software Engineer Manager,17,195000,Canada,Asian
60,Male,Phd,Software Engineer Manager,18,195000,Australia,White
54,Female,Phd,Software Engineer Manager,14,190000,Australia,Australian
27,Female,Master Degree,Full Stack Engineer,3,95000,USA,African American
23,Male,Bachelor Degree,Back end Developer,1,55000,UK,Asian
45,Male,Phd,Senior Software Engineer,13,185000,Canada,White
32,Female,Master Degree,Full Stack Engineer,5,120000,Canada,Black
57,Male,Phd,Software Engineer Manager,16,195000,China,Korean
47,Male,Phd,Software Engineer Manager,14,175000,China,White
25,Female,Master Degree,Back end Developer,2,75000,China,White
58,Male,Phd,Software Engineer Manager,17,200000,UK,Welsh
41,Female,Master Degree,Senior Software Engineer,12,160000,Canada,Asian
41,Male,Phd,Software Engineer Manager,12,175000,USA,Hispanic
26,Male,Bachelor Degree,Front end Developer,2,70000,China,Korean
47,Male,Phd,Senior Software Engineer,15,180000,UK,White
24,Female,Bachelor Degree,Back end Developer,1,60000,UK,White
48,Male,Phd,Senior Project Engineer,16,190000,Australia,Australian
32,Male,Bachelor Degree,Full Stack Engineer,5,120000,Australia,Australian
61,Male,Phd,Software Engineer Manager,20,200000,USA,Hispanic
45,Male,Phd,Senior Project Engineer,14,185000,Australia,Asian
50,Female,Phd,Software Engineer Manager,16,190000,Canada,Asian
53,Male,Phd,Software Engineer Manager,18,195000,Australia,Australian
47,Female,Phd,Senior Software Engineer,14,170000,China,White
23,Male,Bachelor Degree,Front end Developer,1,55000,Australia,White
33,Male,Master Degree,Back end Developer,6,130000,China,Korean
42,Male,Phd,Software Engineer Manager,14,180000,China,Chinese
45,Male,Phd,Senior Project Engineer,14,185000,Australia,White
23,Male,Bachelor Degree,Front end Developer,1,55000,China,Korean
37,Male,Master Degree,Senior Software Engineer,9,145000,Canada,White
44,Female,Master Degree,Senior Project Engineer,12,170000,China,White
54,Male,Phd,Software Engineer Manager,17,195000,UK,Mixed
38,Female,Master Degree,Back end Developer,10,155000,Australia,Asian
34,Male,Master Degree,Full Stack Engineer,6,125000,USA,Hispanic
46,Female,Phd,Software Engineer Manager,14,180000,China,Korean
30,Male,Bachelor Degree,Back end Developer,4,95000,China,Chinese
44,Female,Master Degree,Senior Software Engineer,11,170000,Canada,White
27,Female,Master Degree,Full Stack Engineer,3,100000,USA,Asian
42,Male,Phd,Senior Project Engineer,14,175000,China,Korean
27,Male,Bachelor Degree,Front end Developer,3,80000,UK,Mixed
54,Male,Phd,Software Engineer Manager,18,195000,Canada,Black
38,Male,Master Degree,Senior Software Engineer,10,155000,Canada,Black
31,Male,Master Degree,Senior Project Engineer,6,125000,China,Chinese
28,Female,Master Degree,Full Stack Engineer,4,110000,UK,Asian
30,Female,Master Degree,Back end Developer,6,130000,USA,Asian
54,Male,Phd,Software Engineer Manager,16,190000,UK,White
62,Male,Phd,Software Engineer Manager,20,200000,Canada,Asian
62,Male,Phd,Software Engineer Manager,19,200000,Australia,Asian
37,Male,Master Degree,Senior Software Engineer,9,150000,UK,White
31,Male,Master Degree,Senior Software Engineer,7,140000,UK,Mixed
58,Female,Phd,Software Engineer Manager,17,195000,China,White
56,Male,Phd,Software Engineer Manager,17,195000,UK,White
23,Female,Bachelor Degree,Back end Developer,1,55000,Australia,Asian
49,Male,Phd,Software Engineer Manager,15,185000,USA,White
32,Female,Master Degree,Full Stack Engineer,5,120000,USA,White
52,Female,Phd,Software Engineer Manager,16,190000,Canada,White
32,Female,Master Degree,Full Stack Engineer,6,130000,China,Korean
50,Female,Phd,Software Engineer Manager,16,190000,USA,Asian
32,Male,Master Degree,Back end Developer,6,130000,China,Chinese
34,Male,Master Degree,Full Stack Engineer,7,140000,UK,White
28,Male,Bachelor Degree,Front end Developer,2,70000,Australia,White
44,Male,Master Degree,Senior Project Engineer,11,170000,USA,Asian
55,Male,Phd,Software Engineer Manager,17,190000,Canada,White
27,Male,Bachelor Degree,Front end Developer,3,80000,Australia,Australian
46,Male,Phd,Software Engineer Manager,14,180000,UK,Asian
27,Female,Master Degree,Back end Developer,2,70000,UK,Mixed
45,Male,Phd,Senior Project Engineer,14,185000,China,Chinese
23,Female,Bachelor Degree,Front end Developer,1,55000,USA,African American
36,Female,Master Degree,Full Stack Engineer,8,140000,UK,White
47,Female,Phd,Senior Software Engineer,14,170000,Canada,Black
33,Male,Master Degree,Back end Developer,6,130000,China,Chinese
43,Male,Phd,Software Engineer Manager,13,180000,USA,African American
30,Male,Bachelor Degree,Back end Developer,4,95000,USA,White
28,Female,Bachelor Degree,Front end Developer,2,70000,UK,Mixed
43,Male,Master Degree,Senior Project Engineer,12,165000,Canada,White
43,Male,Phd,Senior Project Engineer,13,185000,China,Korean
36,Male,Master Degree,Senior Software Engineer,7,140000,UK,White
24,Male,Bachelor Degree,Front end Developer,1,60000,Australia,White
28,Female,Bachelor Degree,Front end Developer,3,80000,Australia,Asian
37,Male,Master Degree,Senior Software Engineer,9,150000,China,White
41,Female,Phd,Software Engineer Manager,14,185000,Australia,Asian
26,Male,Bachelor Degree,Front end Developer,2,70000,Canada,White
28,Female,Master Degree,Back end Developer,3,90000,USA,White
43,Male,Phd,Senior Software Engineer,12,170000,USA,Asian
42,Male,Phd,Senior Software Engineer,14,170000,USA,African American
48,Male,Phd,Senior Project Engineer,16,190000,Canada,Black
27,Female,Master Degree,Back end Developer,2,70000,USA,Hispanic
49,Male,Phd,Software Engineer Manager,15,185000,Canada,Asian
44,Male,Phd,Senior Project Engineer,12,170000,Canada,Black
27,Female,Master Degree,Full Stack Engineer,3,100000,Canada,Asian
37,Male,Master Degree,Senior Software Engineer,10,155000,China,White
44,Female,Master Degree,Senior Project Engineer,12,170000,Australia,Asian
56,Male,Phd,Software Engineer Manager,18,195000,Australia,Australian
49,Male,Phd,Software Engineer Manager,15,185000,Canada,Asian
27,Male,Bachelor Degree,Front end Developer,2,70000,USA,African American
48,Male,Phd,Senior Project Engineer,16,190000,China,Korean
31,Male,Master Degree,Full Stack Engineer,7,140000,Australia,White
25,Male,Bachelor Degree,Front end Developer,1,60000,Canada,Asian
50,Male,Phd,Software Engineer Manager,16,190000,UK,White
46,Male,Phd,Software Engineer Manager,14,180000,China,White
33,Male,Master Degree,Full Stack Engineer,6,130000,Canada,Black
42,Male,Phd,Senior Software Engineer,14,170000,USA,Asian
41,Male,Phd,Senior Project Engineer,12,165000,Australia,Australian
43,Male,Phd,Senior Project Engineer,13,185000,UK,Mixed
32,Male,Master Degree,Back end Developer,6,130000,Australia,Asian
24,Male,Bachelor Degree,Front end Developer,1,60000,USA,Asian
44,Female,Master Degree,Senior Software Engineer,11,170000,China,Korean
36,Male,Master Degree,Senior Software Engineer,7,140000,China,White
28,Female,Master Degree,Full Stack Engineer,4,110000,Australia,White
28,Male,Bachelor Degree,Front end Developer,2,70000,USA,White
37,Male,Master Degree,Senior Software Engineer,9,145000,UK,Asian
54,Male,Phd,Software Engineer Manager,16,190000,USA,Hispanic
58,Male,Phd,Software Engineer Manager,17,200000,China,White
27,Male,Bachelor Degree,Front end Developer,3,80000,Canada,Black
30,Male,Bachelor Degree,Back end Developer,4,95000,USA,African American
27,Female,Master Degree,Full Stack Engineer,3,100000,USA,Hispanic
54,Male,Phd,Software Engineer Manager,17,195000,Australia,Asian
49,Male,Phd,Software Engineer Manager,15,185000,China,White
38,Male,Master Degree,Senior Software Engineer,10,155000,Canada,Asian
54,Male,Phd,Software Engineer Manager,18,195000,USA,White
31,Male,Master Degree,Senior Project Engineer,6,125000,USA,Hispanic
56,Male,Phd,Software Engineer Manager,17,195000,Canada,Black
31,Male,Master Degree,Senior Software Engineer,7,140000,UK,Mixed
42,Male,Phd,Senior Software Engineer,14,170000,China,Korean
44,Male,Master Degree,Senior Project Engineer,11,170000,Canada,White
37,Male,Master Degree,Senior Software Engineer,9,150000,Australia,Asian
24,Female,Bachelor Degree,Back end Developer,1,60000,USA,Hispanic
27,Male,Bachelor Degree,Front end Developer,2,70000,Australia,Australian
42,Male,Phd,Senior Software Engineer,14,170000,Australia,White
24,Female,Bachelor Degree,Front end Developer,1,55000,USA,White
28,Female,Bachelor Degree,Front end Developer,3,80000,UK,Welsh
43,Male,Phd,Senior Project Engineer,13,185000,Canada,Asian
31,Male,Master Degree,Full Stack Engineer,7,140000,China,Korean
43,Male,Phd,Software Engineer Manager,13,180000,UK,Asian
27,Female,Master Degree,Back end Developer,2,70000,China,Korean
49,Male,Phd,Software Engineer Manager,15,185000,UK,White
48,Male,Phd,Senior Project Engineer,16,190000,Australia,White
30,Female,Master Degree,Back end Developer,6,130000,Australia,Australian
28,Female,Master Degree,Full Stack Engineer,4,110000,China,White
46,Male,Phd,Software Engineer Manager,14,180000,China,Korean
37,Male,Master Degree,Senior Software Engineer,9,145000,USA,African American
42,Male,Phd,Senior Software Engineer,14,170000,China,Korean
43,Male,Phd,Senior Project Engineer,12,165000,China,Chinese
31,Male,Master Degree,Senior Software Engineer,7,140000,Canada,White
56,Male,Phd,Software Engineer Manager,17,195000,China,White
37,Male,Master Degree,Senior Software Engineer,10,155000,USA,White
54,Male,Phd,Software Engineer Manager,16,190000,Australia,Asian
58,Male,Phd,Software Engineer Manager,17,195000,Canada,Asian
33,Male,Master Degree,Back end Developer,6,130000,China,Chinese
29,Female,Bachelor Degree,Front end Developer,3,85000,UK,White
52,Male,Phd,Software Engineer Manager,18,200000,China,White
36,Male,Master Degree,Full Stack Engineer,8,140000,USA,Hispanic
26,Male,Bachelor Degree,Back end Developer,2,65000,UK,Asian
47,Male,Phd,Senior Project Engineer,16,190000,Australia,Australian
32,Male,Master Degree,Full Stack Engineer,6,120000,Canada,Black
29,Male,Bachelor Degree,Front end Developer,3,80000,USA,Asian
28,Female,Master Degree,Back end Developer,3,90000,USA,Hispanic
54,Male,Phd,Software Engineer Manager,16,190000,USA,Asian
57,Male,Phd,Software Engineer Manager,18,200000,Australia,Australian
51,Male,Phd,Software Engineer Manager,16,190000,UK,Mixed
28,Female,Master Degree,Full Stack Engineer,4,110000,Canada,Asian
46,Male,Phd,Software Engineer Manager,14,180000,China,White
27,Female,Master Degree,Back end Developer,2,65000,Australia,Asian
45,Male,Phd,Senior Project Engineer,14,185000,USA,Hispanic
23,Female,Bachelor Degree,Front end Developer,1,55000,Australia,Australian
36,Male,Master Degree,Full Stack Engineer,7,130000,Canada,Asian
48,Male,Phd,Senior Project Engineer,16,190000,China,Korean
33,Female,Master Degree,Full Stack Engineer,5,120000,Australia,Australian
38,Female,Master Degree,Back end Developer,10,155000,Australia,Australian
51,Male,Phd,Software Engineer Manager,16,190000,USA,Hispanic
27,Female,Master Degree,Full Stack Engineer,3,100000,Australia,Asian
37,Male,Master Degree,Senior Software Engineer,9,150000,China,Chinese
44,Female,Master Degree,Senior Project Engineer,12,170000,USA,White
27,Male,Bachelor Degree,Front end Developer,3,80000,Australia,Australian
38,Male,Master Degree,Senior Software Engineer,10,155000,UK,Asian
54,Male,Phd,Software Engineer Manager,17,195000,USA,African American
49,Male,Phd,Software Engineer Manager,15,185000,USA,Asian
27,Male,Bachelor Degree,Front end Developer,2,70000,Australia,White
48,Male,Phd,Senior Project Engineer,16,190000,China,White
31,Male,Master Degree,Full Stack Engineer,7,140000,USA,Asian
25,Male,Bachelor Degree,Front end Developer,1,55000,USA,White
50,Male,Phd,Software Engineer Manager,16,190000,Australia,Australian
46,Male,Phd,Software Engineer Manager,14,180000,Canada,White
33,Male,Master Degree,Full Stack Engineer,6,130000,USA,African American
42,Male,Phd,Senior Software Engineer,14,170000,USA,Asian
41,Male,Phd,Senior Project Engineer,12,165000,UK,White
43,Male,Phd,Senior Project Engineer,13,185000,China,White
32,Male,Master Degree,Back end Developer,6,130000,China,Korean
24,Male,Bachelor Degree,Front end Developer,1,60000,USA,Hispanic
44,Female,Master Degree,Senior Software Engineer,11,170000,Australia,Australian
36,Male,Master Degree,Senior Software Engineer,7,140000,Australia,Asian
28,Female,Master Degree,Full Stack Engineer,4,110000,Canada,Asian
28,Male,Bachelor Degree,Front end Developer,2,70000,China,Korean
37,Male,Master Degree,Senior Software Engineer,9,145000,Canada,Black
54,Male,Phd,Software Engineer Manager,16,190000,China,White
58,Male,Phd,Software Engineer Manager,17,200000,Canada,Black
27,Male,Bachelor Degree,Front end Developer,3,80000,Canada,White
30,Male,Bachelor Degree,Back end Developer,4,95000,UK,White
27,Female,Master Degree,Full Stack Engineer,3,100000,UK,White
54,Male,Phd,Software Engineer Manager,17,195000,UK,Asian
49,Male,Phd,Software Engineer Manager,15,185000,USA,African American
38,Male,Master Degree,Senior Software Engineer,10,155000,USA,Asian
54,Male,Phd,Software Engineer Manager,18,195000,China,Chinese
31,Male,Master Degree,Senior Project Engineer,6,125000,China,Korean
56,Male,Phd,Software Engineer Manager,17,195000,China,Korean
31,Male,Master Degree,Senior Software Engineer,7,140000,Canada,Black
42,Male,Phd,Senior Software Engineer,14,170000,Australia,Australian
44,Male,Master Degree,Senior Project Engineer,11,170000,Australia,White
37,Male,Master Degree,Senior Software Engineer,9,150000,Canada,Asian
24,Female,Bachelor Degree,Back end Developer,1,60000,Australia,Australian
27,Male,Bachelor Degree,Front end Developer,2,70000,UK,Welsh
42,Male,Phd,Senior Software Engineer,14,170000,Australia,White
24,Female,Bachelor Degree,Front end Developer,1,55000,UK,Welsh
28,Female,Bachelor Degree,Front end Developer,3,80000,Australia,White
43,Male,Phd,Senior Project Engineer,13,185000,China,White
31,Male,Master Degree,Full Stack Engineer,7,140000,Australia,White
43,Male,Phd,Software Engineer Manager,13,180000,Australia,White
27,Female,Master Degree,Back end Developer,2,70000,Canada,White
49,Male,Phd,Software Engineer Manager,15,185000,UK,Welsh
48,Male,Phd,Senior Project Engineer,16,190000,Canada,White
31,Male,Master Degree,Senior Project Engineer,6,125000,Canada,Asian
40,Male,Phd,Senior Software Engineer,12,160000,UK,Mixed
36,Male,Master Degree,Senior Software Engineer,8,140000,China,White
54,Male,Phd,Software Engineer Manager,17,195000,Australia,White
27,Male,Bachelor Degree,Front end Developer,2,70000,USA,African American
28,Male,Bachelor Degree,Front end Developer,2,70000,UK,White
44,Male,Master Degree,Senior Project Engineer,11,170000,Canada,Black
43,Male,Phd,Senior Project Engineer,13,185000,China,Korean
54,Male,Phd,Software Engineer Manager,17,195000,Canada,Black
32,Male,Master Degree,Back end Developer,6,130000,USA,Asian
38,Male,Master Degree,Senior Software Engineer,10,155000,China,White
49,Male,Phd,Software Engineer Manager,15,185000,Australia,Asian
27,Male,Bachelor Degree,Front end Developer,3,80000,UK,Mixed
54,Male,Phd,Software Engineer Manager,17,195000,China,Chinese
31,Male,Master Degree,Senior Project Engineer,7,135000,Australia,Australian
24,Male,Bachelor Degree,Back end Developer,1,55000,Canada,White
48,Male,Phd,Senior Project Engineer,16,190000,Australia,Asian
